sku;product-id;product-id-type;price;quantity;state;update-delete;canon;tipo-iva
ASUC-8P015-GR;8436574709773;EAN;41,29;0;11;update;0.00;21.00
ASUC-5P011-GR;8436574709728;EAN;25,61;1;11;update;0.00;21.00
WT32TSR-225;8436574709742;EAN;51,95;2;11;update;0.00;21.00
DT32TSR-219;8436574709759;EAN;35,12;21;11;update;0.00;21.00
DT32TSR-221;8436574709766;EAN;51,28;1;11;update;0.00;21.00
842202;6940533544937;EAN;30,34;0;11;update;0.00;21.00
842402;6940533544944;EAN;40,43;0;11;update;0.00;21.00
DT32TSR-229;8436574709889;EAN;33,21;1;11;update;0.00;21.00
WT120T-243;8435739901021;EAN;47,40;4;11;update;0.00;21.00
DT32TSR-227;8436574709872;EAN;26,50;0;11;update;0.00;21.00
FS2287M-B;8433281014404;EAN;108,57;127;11;update;0.00;21.00
FS2285M-B;8433281014398;EAN;104,76;172;11;update;0.00;21.00
DB1202TN-B;8433281014480;EAN;60,47;1;11;update;0.00;21.00
FSM03-B;8433281014541;EAN;987,31;39;11;update;0.00;21.00
LP1343TN-B;8433281014497;EAN;14,97;0;11;update;0.00;21.00
LP1344TN-B;8433281014503;EAN;16,53;4;11;update;0.00;21.00
LP1345TN-B;8433281014510;EAN;20,18;1;11;update;0.00;21.00
LP1355TN-B;8433281014527;EAN;17,80;8;11;update;0.00;21.00
LP1356TN-B;8433281014534;EAN;22,01;0;11;update;0.00;21.00
DB1132TN-B;8433281014473;EAN;30,65;2;11;update;0.00;21.00
FS20206M-B;8433281014558;EAN;109,94;76;11;update;0.00;21.00
FS20207M-W;8433281014565;EAN;107,61;3;11;update;0.00;21.00
WT90T-233;8435739900963;EAN;27,99;2;11;update;0.00;21.00
WT90F-235;8435739900970;EAN;27,46;1;11;update;0.00;21.00
WT90T-237;8435739900987;EAN;34,50;1;11;update;0.00;21.00
WT90F-239;8435739900994;EAN;27,66;2;11;update;0.00;21.00
WT90T-241;8435739901007;EAN;31,60;0;11;update;0.00;21.00
FT100E-231;8435739901014;EAN;193,47;137;11;update;0.00;21.00
VW70LPO-255;8435739901045;EAN;60,55;1;11;update;0.00;21.00
VW70LPOX-257;8435739901052;EAN;67,43;0;11;update;0.00;21.00
FT42TE-261;8435739901069;EAN;52,99;5;11;update;0.00;21.00
FT100TE-259;8435739901076;EAN;238,47;68;11;update;0.00;21.00
FT100E-263;8435739901083;EAN;530,01;35;11;update;0.00;21.00
DT32TSR-249;8435739901090;EAN;51,90;0;11;update;0.00;21.00
DT32TSR-251;8435739901106;EAN;80,06;1;11;update;0.00;21.00
DT70S-253;8435739901113;EAN;51,64;1;11;update;0.00;21.00
ASDS-M2SATA04B;8435739901335;EAN;44,35;13;11;update;0.00;21.00
LPS4SXL-247;8435739901120;EAN;35,49;0;11;update;0.00;21.00
FRT01-265;8435739901366;EAN;30,10;13;11;update;0.00;21.00
FRT02-267;8435739901373;EAN;36,91;3;11;update;0.00;21.00
CL-9011137-WW;60021;EAN;56,32;1;11;update;0.00;21.00
LPCE1175TSLI-B;8433281014787;EAN;44,98;1;11;update;0.00;21.00
LPCE1175TSLI-XL-B;8433281014794;EAN;57,82;1;11;update;0.00;21.00
LPCE1186TSLI-B;8433281014800;EAN;49,29;2;11;update;0.00;21.00
LPCE1186TSLI-XL-B;8433281014817;EAN;64,13;3;11;update;0.00;21.00
LPCE2286TSLI-B;8433281014824;EAN;71,86;1;11;update;0.00;21.00
LPCE2286TSLI-XL-B;8433281014831;EAN;85,27;1;11;update;0.00;21.00
WT42TSL-273;8435739901380;EAN;16,18;11;11;update;0.00;21.00
DT32TSR-275;8435739901397;EAN;21,99;1;11;update;0.00;21.00
DT32TSR-277;8435739901403;EAN;25,77;27;11;update;0.00;21.00
DT32TSR-279;8435739901410;EAN;30,60;3;11;update;0.00;21.00
DT27TSR-281;8435739901427;EAN;52,68;2;11;update;0.00;21.00
DT32TSR-283;8435739901434;EAN;25,86;1;11;update;0.00;21.00
DT32TSR-285;8435739901441;EAN;33,95;1;11;update;0.00;21.00
DT27TSR-287;8435739901458;EAN;42,17;2;11;update;0.00;21.00
ACC001-289;8435739901465;EAN;12,51;13;11;update;0.00;21.00
WT120F-293;8435739901649;EAN;33,65;2;11;update;0.00;21.00
DT32TSR-295;8435739901656;EAN;52,54;3;11;update;0.00;21.00
DT32TSR-297;8435739901663;EAN;69,89;3;11;update;0.00;21.00
DT86TS-291;8435739901670;EAN;70,46;114;11;update;0.00;21.00
ASUC-6P019-GR;8435739901748;EAN;28,32;1;11;update;0.00;21.00
ASUC-9P018-GR;8435739901724;EAN;42,10;1;11;update;0.00;21.00
ASPS-1A1C06-W;8435739901700;EAN;15,83;8;11;update;0.00;21.00
ASPS-1A1C07-BK;8435739901717;EAN;15,91;2;11;update;0.00;21.00
FS20208M-B;8433281014848;EAN;191,29;68;11;update;0.00;21.00
FS20500M-B;8433281014855;EAN;315,42;42;11;update;0.00;21.00
